age,height_cm,weight_kg,overall,potential,release_clause_eur,pace,shooting,passing,dribbling,defending,physic,gk_diving,gk_handling,gk_kicking,gk_reflexes,gk_speed,gk_positioning,is_not_gk,value
21,176,72,79,89,42000000.0,53.0,79.0,80.0,77.0,68.0,70.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,20000000
28,183,79,71,71,3500000.0,70.0,57.0,70.0,69.0,69.0,71.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2400000
29,172,67,73,73,7600000.0,78.0,73.0,68.0,79.0,48.0,67.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4000000
31,183,75,69,69,1500000.0,52.0,70.0,54.0,63.0,32.0,71.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,950000
25,185,75,58,64,1200000.0,57.0,35.0,49.0,50.0,57.0,64.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0
26,183,75,67,70,1100000.0,64.0,63.0,68.0,56.0,66.0,72.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,850000
38,191,93,72,72,389000.0,0.0,0.0,0.0,0.0,0.0,0.0,73.0,70.0,60.0,74.0,38.0,72.0,0.0,210000
23,190,81,62,70,810000.0,61.0,62.0,43.0,56.0,26.0,58.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,450000
20,189,79,57,69,232000.0,58.0,28.0,39.0,38.0,55.0,62.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,160000
23,187,72,84,87,76000000.0,78.0,80.0,82.0,86.0,34.0,64.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,39500000
19,178,72,58,77,533000.0,62.0,40.0,57.0,65.0,35.0,49.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,270000
25,175,72,62,63,639000.0,84.0,54.0,55.0,62.0,25.0,46.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,350000
31,192,78,58,58,124000.0,0.0,0.0,0.0,0.0,0.0,0.0,59.0,62.0,56.0,52.0,43.0,58.0,0.0,80000
19,182,75,62,82,1600000.0,67.0,31.0,39.0,44.0,61.0,67.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,600000
26,178,76,59,60,293000.0,60.0,53.0,57.0,55.0,56.0,65.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,180000
21,178,74,64,75,1400000.0,66.0,50.0,66.0,65.0,43.0,48.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,775000
24,190,85,58,64,293000.0,55.0,29.0,32.0,31.0,56.0,70.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,150000
18,181,73,49,66,109000.0,59.0,24.0,26.0,33.0,48.0,53.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,50000
19,179,74,60,75,1100000.0,76.0,52.0,56.0,64.0,26.0,61.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,450000
18,180,70,50,67,143000.0,65.0,44.0,46.0,50.0,26.0,44.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,60000
21,171,68,69,80,4000000.0,78.0,61.0,67.0,72.0,41.0,53.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1800000
21,183,76,63,73,814000.0,82.0,55.0,52.0,62.0,57.0,75.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,525000
